transmission_datetime,post_id,street_block,payment_type,session_start_dt,session_end_dt,meter_event_type,gross_paid_amt
3804284_11_06012017024301,893-00780,Pier 52 Lot B,CREDIT CARD,2017-06-01T02:43:01.000,2017-06-01T14:00:00.000,NS,6.25
3804291_11_06012017025801,893-00740,Pier 52 Lot B,CREDIT CARD,2017-06-01T02:58:01.000,2017-06-01T22:00:00.000,NS,12.25
125648514_4_06012017030157,585-05440,NORTH POINT ST 500,CASH,2017-06-01T03:01:57.000,2017-06-01T03:01:57.000,NS,0.1
125648516_4_06012017030216,585-05440,NORTH POINT ST 500,CASH,2017-06-01T03:02:16.000,2017-06-01T03:02:16.000,NS,0.1
125648515_4_06012017030228,585-05440,NORTH POINT ST 500,CASH,2017-06-01T03:02:28.000,2017-06-01T03:02:28.000,NS,0.1
3804285_11_06012017031201,893-00720,Pier 52 Lot B,CREDIT CARD,2017-06-01T03:12:01.000,2017-06-01T15:00:00.000,NS,7.5
3804286_11_06012017031301,893-00770,Pier 52 Lot B,CREDIT CARD,2017-06-01T03:13:01.000,2017-06-01T15:00:00.000,NS,7.5
3804287_11_06012017031401,893-00830,Pier 52 Lot B,CREDIT CARD,2017-06-01T03:14:01.000,2017-06-01T15:00:00.000,NS,7.5
3804283_11_06012017031801,893-00710,Pier 52 Lot B,CREDIT CARD,2017-06-01T03:18:01.000,2017-06-01T15:00:00.000,NS,7.5
3804292_11_06012017032401,893-00440,Pier 52 Lot B,CREDIT CARD,2017-06-01T03:24:01.000,2017-06-01T14:00:00.000,NS,6.25
3804293_11_06012017032701,893-00540,Pier 52 Lot B,CREDIT CARD,2017-06-01T03:27:01.000,2017-06-01T15:00:00.000,NS,7.5
3804288_11_06012017040301,893-00750,Pier 52 Lot B,CREDIT CARD,2017-06-01T04:03:01.000,2017-06-01T14:00:00.000,NS,6.25
125648530_4_06012017043034,325-05240,BAY ST 500,CASH,2017-06-01T04:30:34.000,2017-06-01T11:42:01.000,NS,1.35
3804289_11_06012017043201,651-00011,SANSOME ST 0,CREDIT CARD,2017-06-01T04:32:01.000,2017-06-01T12:05:36.000,NS,3.82
125648534_4_06012017043251,445-00920,GREEN ST 0,CREDIT CARD,2017-06-01T04:32:51.000,2017-06-01T11:00:00.000,NS,4.5
125648535_4_06012017043315,380-03010,DAVIS ST 300,CREDIT CARD,2017-06-01T04:33:15.000,2017-06-01T11:00:00.000,NS,10
125648536_4_06012017043326,350-07250,CALIFORNIA ST 700,CREDIT CARD,2017-06-01T04:33:26.000,2017-06-01T09:00:00.000,NS,6.5
3804290_11_06012017043601,411-00100,FELL ST 0,CREDIT CARD,2017-06-01T04:36:01.000,2017-06-01T09:40:00.000,NS,4
125648540_4_06012017043919,205-05440,05TH ST 500,CASH,2017-06-01T04:39:19.000,2017-06-01T09:05:01.000,NS,0.25
125648541_4_06012017043946,585-06330,NORTH POINT ST 600,CASH,2017-06-01T04:39:46.000,2017-06-01T12:00:01.000,NS,1.5
125648542_4_06012017044026,585-06330,NORTH POINT ST 600,CASH,2017-06-01T04:40:26.000,2017-06-01T13:00:01.000,AT,2.25
125648543_4_06012017044338,462-17240,HAIGHT ST 1700,CASH,2017-06-01T04:43:38.000,2017-06-01T07:06:41.000,NS,0.25
125648544_4_06012017044522,470-05060,HOWARD ST 500,CREDIT CARD,2017-06-01T04:45:22.000,2017-06-01T11:00:00.000,NS,15
3804387_11_06012017044601,684-04893,TOWNSEND ST 400,CREDIT CARD,2017-06-01T04:46:01.000,2017-06-01T12:00:00.000,NS,3.75
125648545_4_06012017044620,470-05040,HOWARD ST 500,CREDIT CARD,2017-06-01T04:46:20.000,2017-06-01T11:00:00.000,NS,15
125648546_4_06012017044651,705-15200,VALLEJO ST 1500,CREDIT CARD,2017-06-01T04:46:51.000,2017-06-01T11:00:00.000,NS,4.5
125648548_4_06012017044828,373-02080,CHANNEL ST 200,CASH,2017-06-01T04:48:28.000,2017-06-01T09:06:01.000,NS,0.15
125648552_4_06012017044841,325-05200,BAY ST 500,CASH,2017-06-01T04:48:41.000,2017-06-01T13:00:01.000,NS,2.25
125648547_4_06012017044853,561-01580,MAIN ST 100,CREDIT CARD,2017-06-01T04:48:53.000,2017-06-01T11:00:00.000,NS,15
125648549_4_06012017045025,561-01560,MAIN ST 100,CREDIT CARD,2017-06-01T04:50:25.000,2017-06-01T11:00:00.000,NS,15
125648550_4_06012017045049,561-01160,MAIN ST 100,CREDIT CARD,2017-06-01T04:50:49.000,2017-06-01T11:00:00.000,NS,15
125648551_4_06012017045108,663-15200,STEINER ST 1500,CREDIT CARD,2017-06-01T04:51:08.000,2017-06-01T15:00:00.000,NS,5.25
125648553_4_06012017045202,330-09370,BRANNAN ST 900,CREDIT CARD,2017-06-01T04:52:02.000,2017-06-01T11:00:00.000,NS,4.5
125648554_4_06012017045308,330-09550,BRANNAN ST 900,CREDIT CARD,2017-06-01T04:53:08.000,2017-06-01T11:00:00.000,NS,4.5
125648556_4_06012017045326,202-04200,02ND ST 400,CASH,2017-06-01T04:53:26.000,2017-06-01T11:00:01.000,NS,2
125648555_4_06012017045403,561-01220,MAIN ST 100,CREDIT CARD,2017-06-01T04:54:03.000,2017-06-01T11:00:00.000,NS,15
3804339_11_06012017045601,893-00660,Pier 52 Lot B,CREDIT CARD,2017-06-01T04:56:01.000,2017-06-01T16:00:00.000,NS,8.75
3804507_11_06012017045601,593-00011,OFARRELL ST 0,CREDIT CARD,2017-06-01T04:56:01.000,2017-06-01T13:30:24.000,NS,4.88
125648557_4_06012017045754,720-00060,WASHINGTON ST 0,CREDIT CARD,2017-06-01T04:57:54.000,2017-06-01T11:00:00.000,NS,13
125648558_4_06012017045824,330-09450,BRANNAN ST 900,CREDIT CARD,2017-06-01T04:58:24.000,2017-06-01T11:00:00.000,NS,4.5
125648559_4_06012017045959,442-06010,GOLDEN GATE AVE 600,CREDIT CARD,2017-06-01T04:59:59.000,2017-06-01T12:00:00.000,NS,3
125648561_4_06012017050332,386-02220,DRUMM ST 200,CREDIT CARD,2017-06-01T05:03:32.000,2017-06-01T11:00:00.000,NS,15
3804329_11_06012017050501,893-00650,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:05:01.000,2017-06-01T22:00:00.000,NS,12.25
125648562_4_06012017050509,339-01680,BERRY ST 100,CREDIT CARD,2017-06-01T05:05:09.000,2017-06-01T12:36:56.000,NS,11
125648563_4_06012017050515,327-01230,BROADWAY 100,CREDIT CARD,2017-06-01T05:05:15.000,2017-06-01T11:00:00.000,NS,4.5
125648565_4_06012017050608,720-00050,WASHINGTON ST 0,CREDIT CARD,2017-06-01T05:06:08.000,2017-06-01T11:00:00.000,NS,13
3804294_11_06012017050901,202-00550,02ND ST 0,CREDIT CARD,2017-06-01T05:09:01.000,2017-06-01T13:00:00.000,NS,4.5
125648569_4_06012017050916,470-05780,HOWARD ST 500,CREDIT CARD,2017-06-01T05:09:16.000,2017-06-01T11:00:00.000,NS,15
125648571_4_06012017051112,585-05350,NORTH POINT ST 500,CASH,2017-06-01T05:11:12.000,2017-06-01T11:40:01.000,NS,2
125648573_4_06012017051311,331-04560,BRYANT ST 400,CREDIT CARD,2017-06-01T05:13:11.000,2017-06-01T16:00:00.000,NS,15.25
125648574_4_06012017051324,471-00280,HARRISON ST 0,CREDIT CARD,2017-06-01T05:13:24.000,2017-06-01T13:00:00.000,NS,7.5
3804340_11_06012017051401,893-00620,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:14:01.000,2017-06-01T22:00:00.000,NS,12.25
3804295_11_06012017051501,470-01290,HOWARD ST 100,CREDIT CARD,2017-06-01T05:15:01.000,2017-06-01T15:30:32.000,NS,4.68
3804519_11_06012017051701,720-03433,WASHINGTON ST 300,SMART CARD,2017-06-01T05:17:01.000,2017-06-01T14:36:00.000,NS,1.96
125648576_4_06012017051716,470-05160,HOWARD ST 500,CREDIT CARD,2017-06-01T05:17:16.000,2017-06-01T11:00:00.000,NS,15
3804393_11_06012017051801,684-05043,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:18:01.000,2017-06-01T13:30:14.000,NS,5.63
3804394_11_06012017052001,684-05013,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:20:01.000,2017-06-01T14:00:00.000,NS,6.25
125648577_4_06012017052219,471-05270,HARRISON ST 500,CREDIT CARD,2017-06-01T05:22:19.000,2017-06-01T13:50:00.000,NS,6.5
3804341_11_06012017052301,893-00600,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:23:01.000,2017-06-01T22:00:00.000,NS,12.25
125648579_4_06012017052341,826-06210,DELANCEY ST 600,CREDIT CARD,2017-06-01T05:23:41.000,2017-06-01T13:52:30.000,NS,13.75
125648580_4_06012017052512,471-05370,HARRISON ST 500,CREDIT CARD,2017-06-01T05:25:12.000,2017-06-01T14:10:00.000,NS,7
125648581_4_06012017052530,585-05130,NORTH POINT ST 500,CASH,2017-06-01T05:25:30.000,2017-06-01T11:08:01.000,NS,1.6
3804296_11_06012017052601,202-00630,02ND ST 0,CREDIT CARD,2017-06-01T05:26:01.000,2017-06-01T13:00:00.000,NS,4.5
125648583_4_06012017052647,327-01210,BROADWAY 100,CREDIT CARD,2017-06-01T05:26:47.000,2017-06-01T11:00:00.000,NS,4.5
3804297_11_06012017052701,501-01208,JESSIE ST 100,SMART CARD,2017-06-01T05:27:01.000,2017-06-01T13:30:32.000,NS,3.58
125648584_4_06012017052719,470-05800,HOWARD ST 500,CREDIT CARD,2017-06-01T05:27:19.000,2017-06-01T11:00:00.000,NS,15
125648586_4_06012017052823,663-15220,STEINER ST 1500,CASH,2017-06-01T05:28:23.000,2017-06-01T11:40:01.000,NS,2
3804388_11_06012017052901,684-04897,TOWNSEND ST 400,SMART CARD,2017-06-01T05:29:01.000,2017-06-01T14:00:00.000,NS,6.25
3804404_11_06012017052901,684-04515,TOWNSEND ST 400,CREDIT CARD,2017-06-01T05:29:01.000,2017-06-01T18:00:00.000,NS,11.25
3804300_11_06012017053001,470-01390,HOWARD ST 100,CREDIT CARD,2017-06-01T05:30:01.000,2017-06-01T14:15:16.000,NS,3.99
125648590_4_06012017053026,202-04280,02ND ST 400,CREDIT CARD,2017-06-01T05:30:26.000,2017-06-01T14:41:15.000,NS,13.75
125648588_4_06012017053058,561-01480,MAIN ST 100,CREDIT CARD,2017-06-01T05:30:58.000,2017-06-01T11:00:00.000,NS,15
3804301_11_06012017053101,422-02020,FRONT ST 200,CREDIT CARD,2017-06-01T05:31:01.000,2017-06-01T13:30:18.000,NS,6.18
3804389_11_06012017053101,684-04896,TOWNSEND ST 400,SMART CARD,2017-06-01T05:31:01.000,2017-06-01T14:00:00.000,NS,6.25
125648589_4_06012017053128,418-05390,FOLSOM ST 500,CREDIT CARD,2017-06-01T05:31:28.000,2017-06-01T14:40:00.000,NS,14.25
3804391_11_06012017053201,684-05011,TOWNSEND ST 500,SMART CARD,2017-06-01T05:32:01.000,2017-06-01T14:00:00.000,NS,6.25
125648591_4_06012017053231,720-00110,WASHINGTON ST 0,CREDIT CARD,2017-06-01T05:32:31.000,2017-06-01T11:00:00.000,NS,13
3804319_11_06012017053401,891-00160,Pier 52 Lot,CREDIT CARD,2017-06-01T05:34:01.000,2017-06-01T15:15:21.000,NS,7.82
125648592_4_06012017053406,327-01090,BROADWAY 100,CREDIT CARD,2017-06-01T05:34:06.000,2017-06-01T09:46:40.000,NS,1.75
125648593_4_06012017053410,650-05330,SACRAMENTO ST 500,CREDIT CARD,2017-06-01T05:34:10.000,2017-06-01T08:00:00.000,NS,3.75
3804557_11_06012017053501,568-02456,MISSION ST 200,CREDIT CARD,2017-06-01T05:35:01.000,2017-06-01T14:15:16.000,NS,3.99
125648608_4_06012017053546,869-05210,TERRY A FRANCOIS BLVD 500,CREDIT CARD,2017-06-01T05:35:46.000,2017-06-01T15:00:00.000,NS,7.5
3804302_11_06012017053601,418-05010,FOLSOM ST 500,CREDIT CARD,2017-06-01T05:36:01.000,2017-06-01T15:00:00.000,NS,2.7
3804320_11_06012017053601,891-00170,Pier 52 Lot,CREDIT CARD,2017-06-01T05:36:01.000,2017-06-01T22:00:00.000,NS,12.25
3804435_11_06012017053601,684-05074,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:36:01.000,2017-06-01T17:00:00.000,NS,10
125648596_4_06012017053621,202-02360,02ND ST 200,CREDIT CARD,2017-06-01T05:36:21.000,2017-06-01T11:00:00.000,NS,7
125648606_4_06012017053645,869-05210,TERRY A FRANCOIS BLVD 500,CASH,2017-06-01T05:36:45.000,2017-06-01T15:36:01.000,NS,0.75
3804303_11_06012017053701,580-01850,NATOMA ST 100,CREDIT CARD,2017-06-01T05:37:01.000,2017-06-01T11:00:00.000,NS,12
125648597_4_06012017053725,608-02080,PIXLEY ST 200,CREDIT CARD,2017-06-01T05:37:25.000,2017-06-01T11:00:00.000,NS,4.5
3804304_11_06012017053801,651-00560,SANSOME ST 0,CREDIT CARD,2017-06-01T05:38:01.000,2017-06-01T16:00:00.000,NS,6.75
3804305_11_06012017053801,324-06490,BATTERY ST 600,CREDIT CARD,2017-06-01T05:38:01.000,2017-06-01T16:00:00.000,NS,5.85
3804330_11_06012017053801,893-00560,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:38:01.000,2017-06-01T18:00:00.000,NS,11.25
125648598_4_06012017053825,201-02210,01ST ST 200,CREDIT CARD,2017-06-01T05:38:25.000,2017-06-01T11:00:00.000,NS,9
3804306_11_06012017053901,202-00570,02ND ST 0,CREDIT CARD,2017-06-01T05:39:01.000,2017-06-01T14:30:24.000,NS,5.63
3804334_11_06012017053901,893-00450,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:39:01.000,2017-06-01T22:00:00.000,NS,12.25
125648599_4_06012017053911,580-01030,NATOMA ST 100,CREDIT CARD,2017-06-01T05:39:11.000,2017-06-01T11:00:00.000,NS,12
125648601_4_06012017053948,658-02050,SPEAR ST 200,CREDIT CARD,2017-06-01T05:39:48.000,2017-06-01T11:00:00.000,NS,10
3804622_11_06012017054001,561-02151,MAIN ST 200,CREDIT CARD,2017-06-01T05:40:01.000,2017-06-01T17:00:00.000,NS,5.5
3804658_11_06012017054001,720-05710,WASHINGTON ST 500,CREDIT CARD,2017-06-01T05:40:01.000,2017-06-01T16:00:00.000,NS,3.15
3804815_11_06012017054001,470-05070,HOWARD ST 500,CREDIT CARD,2017-06-01T05:40:01.000,2017-06-01T11:00:00.000,NS,15
125648603_4_06012017054037,470-06570,HOWARD ST 600,CREDIT CARD,2017-06-01T05:40:37.000,2017-06-01T11:00:00.000,NS,9
125648604_4_06012017054100,502-27050,JONES ST 2700,CASH,2017-06-01T05:41:00.000,2017-06-01T12:00:01.000,NS,3.75
125648607_4_06012017054132,440-01210,GEARY ST 100,SMART CARD,2017-06-01T05:41:32.000,2017-06-01T08:00:01.000,NS,3.75
125648605_4_06012017054154,864-04210,SPEAR ST 400,CREDIT CARD,2017-06-01T05:41:54.000,2017-06-01T17:00:00.000,NS,4
3804307_11_06012017054201,651-00001,SANSOME ST 0,CREDIT CARD,2017-06-01T05:42:01.000,2017-06-01T15:00:00.000,NS,6
125648614_4_06012017054233,563-02220,MCALLISTER ST 200,CASH,2017-06-01T05:42:33.000,2017-06-01T07:50:48.000,NS,2.75
125648609_4_06012017054323,204-15240,04TH ST 1500,CREDIT CARD,2017-06-01T05:43:23.000,2017-06-01T13:00:00.000,NS,6
125648618_4_06012017054326,206-00100,06TH ST 0,SMART CARD,2017-06-01T05:43:26.000,2017-06-01T07:44:01.000,NS,2.75
125648615_4_06012017054329,201-02140,01ST ST 200,CREDIT CARD,2017-06-01T05:43:29.000,2017-06-01T11:00:00.000,NS,9
3804308_11_06012017054401,582-01141,NEW MONTGOMERY ST 100,CREDIT CARD,2017-06-01T05:44:01.000,2017-06-01T15:00:00.000,NS,6.8
3804331_11_06012017054401,893-00570,Pier 52 Lot B,CREDIT CARD,2017-06-01T05:44:01.000,2017-06-01T22:00:00.000,NS,12.25
3804464_11_06012017054401,720-05870,WASHINGTON ST 500,CREDIT CARD,2017-06-01T05:44:01.000,2017-06-01T18:00:00.000,NS,3.85
3804719_11_06012017054401,444-00220,GRANT AVE 0,CREDIT CARD,2017-06-01T05:44:01.000,2017-06-01T15:30:27.000,NS,5.53
125648620_4_06012017054416,470-05910,HOWARD ST 500,CASH,2017-06-01T05:44:16.000,2017-06-01T07:04:01.000,NS,0.25
125648623_4_06012017054438,363-12160,COLUMBUS AVE 1200,CASH,2017-06-01T05:44:38.000,2017-06-01T12:00:01.000,NS,1.5
125648619_4_06012017054439,470-05930,HOWARD ST 500,CREDIT CARD,2017-06-01T05:44:39.000,2017-06-01T11:00:00.000,NS,15
125648622_4_06012017054500,363-12160,COLUMBUS AVE 1200,CASH,2017-06-01T05:45:00.000,2017-06-01T12:40:01.000,NS,1
3804309_11_06012017054501,418-05150,FOLSOM ST 500,CREDIT CARD,2017-06-01T05:45:01.000,2017-06-01T15:00:00.000,NS,2.7
3804911_11_06012017054501,684-05761,TOWNSEND ST 500,CREDIT CARD,2017-06-01T05:45:01.000,2017-06-01T13:00:00.000,NS,5
125648621_4_06012017054507,201-02260,01ST ST 200,CREDIT CARD,2017-06-01T05:45:07.000,2017-06-01T09:46:40.000,NS,6.25
125648626_4_06012017054539,415-22210,FILLMORE ST 2200,SMART CARD,2017-06-01T05:45:39.000,2017-06-01T09:10:01.000,NS,0.75
3804310_11_06012017054601,420-00780,FREMONT ST 0,CREDIT CARD,2017-06-01T05:46:01.000,2017-06-01T13:30:18.000,NS,6.18
3804315_11_06012017054601,684-04621,TOWNSEND ST 400,CREDIT CARD,2017-06-01T05:46:01.000,2017-06-01T17:00:00.000,NS,10
